time_ms,thr,roll_sp,roll_gyro,roll_P,roll_I,roll_D,pitch_sp,pitch_gyro,pitch_P,pitch_I,pitch_D,yaw_sp,yaw_gyro,yaw_P,yaw_I,yaw_D
3518,1000,0.00,61.91,0.000,0.000,0.000,0.00,-40.23,0.000,0.000,0.000,0.00,-4.48,0.000,0.000,0.000
3538,1000,0.00,61.09,0.000,0.000,0.000,0.00,-38.18,0.000,0.000,0.000,0.00,-8.37,0.000,0.000,0.000
3558,1000,0.00,61.30,0.000,0.000,0.000,0.00,-35.40,0.000,0.000,0.000,0.00,-12.49,0.000,0.000,0.000
3578,1000,0.00,61.68,0.000,0.000,0.000,0.00,-30.77,0.000,0.000,0.000,0.00,-16.52,0.000,0.000,0.000
3598,1000,0.00,56.66,0.000,0.000,0.000,0.00,-22.12,0.000,0.000,0.000,0.00,-18.77,0.000,0.000,0.000
3618,1000,0.00,41.41,0.000,0.000,0.000,0.00,-4.67,0.000,0.000,0.000,0.00,-18.22,0.000,0.000,0.000
3638,1000,0.00,25.32,0.000,0.000,0.000,0.00,15.84,0.000,0.000,0.000,0.00,-17.76,0.000,0.000,0.000
3658,1000,0.00,18.95,0.000,0.000,0.000,0.00,28.94,0.000,0.000,0.000,0.00,-19.46,0.000,0.000,0.000
3678,1000,0.00,19.42,0.000,0.000,0.000,0.00,34.22,0.000,0.000,0.000,0.00,-22.95,0.000,0.000,0.000
3698,1000,0.00,22.74,0.000,0.000,0.000,0.00,35.09,0.000,0.000,0.000,0.00,-26.68,0.000,0.000,0.000
3718,1000,0.00,25.47,0.000,0.000,0.000,0.00,35.55,0.000,0.000,0.000,0.00,-29.12,0.000,0.000,0.000
3738,1000,0.00,26.32,0.000,0.000,0.000,0.00,38.55,0.000,0.000,0.000,0.00,-29.27,0.000,0.000,0.000
3758,1000,0.00,25.03,0.000,0.000,0.000,0.00,45.10,0.000,0.000,0.000,0.00,-27.62,0.000,0.000,0.000
3778,1000,0.00,23.28,0.000,0.000,0.000,0.00,51.81,0.000,0.000,0.000,0.00,-25.39,0.000,0.000,0.000
3798,1000,0.00,22.57,0.000,0.000,0.000,0.00,55.29,0.000,0.000,0.000,0.00,-23.87,0.000,0.000,0.000
3818,1000,0.00,21.80,0.000,0.000,0.000,0.00,55.55,0.000,0.000,0.000,0.00,-23.42,0.000,0.000,0.000
3838,1000,0.00,20.19,0.000,0.000,0.000,0.00,54.23,0.000,0.000,0.000,0.00,-23.29,0.000,0.000,0.000
3858,1000,0.00,17.39,0.000,0.000,0.000,0.00,52.60,0.000,0.000,0.000,0.00,-22.91,0.000,0.000,0.000
3878,1000,0.00,12.60,0.000,0.000,0.000,0.00,49.12,0.000,0.000,0.000,0.00,-23.09,0.000,0.000,0.000
3898,1000,0.00,5.25,0.000,0.000,0.000,0.00,43.55,0.000,0.000,0.000,0.00,-24.55,0.000,0.000,0.000
3918,1000,0.00,-2.41,0.000,0.000,0.000,0.00,37.13,0.000,0.000,0.000,0.00,-26.69,0.000,0.000,0.000
3938,1000,0.00,-7.68,0.000,0.000,0.000,0.00,31.56,0.000,0.000,0.000,0.00,-28.60,0.000,0.000,0.000
3958,1000,0.00,-10.64,0.000,0.000,0.000,0.00,27.44,0.000,0.000,0.000,0.00,-29.70,0.000,0.000,0.000
3978,1000,0.00,-12.82,0.000,0.000,0.000,0.00,23.91,0.000,0.000,0.000,0.00,-30.63,0.000,0.000,0.000
